bdaddress,x,y,height,control_number,floorname
C0:1C:4D:44:D1:F4,29.97038311,4.524210463,1.96,219,FLU01
C0:1C:4D:46:13:41,31.58767106,5.844291686,2,221,FLU01
C0:1C:4D:45:04:52,23.92128732,3.964318312,1.6,222,FLU01
C0:1C:4D:44:20:6B,36.46954609,3.877575856,1.6,223,FLU01
C0:1C:4D:46:05:C9,45.3648955,3.875183422,1.6,224,FLU01
C0:1C:4D:47:67:94,36.7029682,8.174542254,1,227,FLU01
C0:1C:4D:44:57:25,13.13561835,6.736986824,1.57,229,FLU01
C0:1C:4D:44:92:10,12.27856056,12.15007606,1.56,233,FLU01
C0:1C:4D:47:D5:8C,10.45494061,10.92685269,0.88,235,FLU01
C0:1C:4D:47:CF:0A,29.46805456,10.51001622,1.98,243,FLU01
C0:1C:4D:46:C1:DB,27.92651509,8.166287724,1.6,254,FLU01
C0:1C:4D:44:EA:96,18.3,8.656582104,0.95,57,FLU01
C0:1C:4D:47:C8:BD,41.18386452,7.686491532,1.44,68,FLU01
C0:1C:4D:44:35:40,37.09385056,17.12847695,1.46,71,FLU01
C0:1C:4D:47:17:D0,13.71427265,13.49954263,1.78,73,FLU01
C0:1C:4D:45:9B:83,21.81243128,4.42691325,1.5,74,FLU01
C0:1C:4D:44:32:56,43.5,10.6,1.75,84,FLU01
C0:1C:4D:46:4B:57,41.88215944,17.08659278,1.23,88,FLU01
C0:1C:4D:47:0E:9D,28.47145471,20.64272647,1.15,91,FLU01
C0:1C:4D:47:40:A3,36.47163766,10.5003659,2.07,94,FLU01
C0:1C:4D:46:91:A3,25.4739785,7.171770025,1.65,101,FLU02
C0:1C:4D:45:71:EB,29.80160039,4.384425055,1.6,105,FLU02
C0:1C:4D:45:88:C4,33.78617924,4.536589469,1.7,108,FLU02
C0:1C:4D:44:A3:F3,11.55386767,3.936610517,2.318,109,FLU02
C0:1C:4D:45:01:97,12.39722954,1.414278373,0.88,119,FLU02
C0:1C:4D:44:2B:DB,25.54180963,1.642125145,1.57,129,FLU02
C0:1C:4D:46:C5:CF,2.61442582,1.353348799,0.92,202,FLU02
C0:1C:4D:45:77:A5,7.609468184,1.36286914,0.96,203,FLU02
C0:1C:4D:45:B6:2E,12.46037498,14.16931827,0.85,204,FLU02
C0:1C:4D:44:D8:75,2.336771593,7.429745409,0.93,205,FLU02
C0:1C:4D:45:66:15,7.571781748,14.16703692,0.89,209,FLU02
C0:1C:4D:45:0C:3C,18.00007105,13.96437309,2.35,210,FLU02
C0:1C:4D:44:38:4E,12.6647168,17.41680177,2,212,FLU02
C0:1C:4D:45:54:C1,18.45288099,16.38083278,2.37,216,FLU02
C0:1C:4D:44:D0:6E,14.23067514,17.69758715,2,228,FLU02
C0:1C:4D:45:49:F3,2.336771593,13.91526743,0.83,255,FLU02
C0:1C:4D:46:65:E0,17.11398391,3.003270168,1.64,51,FLU02
C0:1C:4D:45:E8:41,10.45294704,11.00727592,0.92,52,FLU02
C0:1C:4D:44:18:2A,6.275086838,10.91483093,0.95,60,FLU02
C0:1C:4D:44:A7:5D,6.255480138,5.336589469,0.95,61,FLU02
C0:1C:4D:46:10:10,10.46271823,5.251246244,0.92,62,FLU02
C0:1C:4D:46:EC:8F,16.07504474,8.119919294,1.93,63,FLU02
C0:1C:4D:47:E2:F3,33.77506579,11.79171469,1.3,64,FLU02
C0:1C:4D:45:69:3C,16.08062251,4.642146193,1.87,75,FLU02
C0:1C:4D:46:06:9B,19.95839561,7.503270168,1.7,77,FLU02
C0:1C:4D:46:C0:43,14.38624239,11.19215672,0.82,79,FLU02
C0:1C:4D:44:61:AB,17.03063304,11.50329122,2.26,83,FLU02
C0:1C:4D:47:B1:2D,38.63063304,10.06999296,1.6,96,FLU02
